Unique ID,Player,Runs_bat,BF,4s,6s,SR,Inns_bat,Opposition,Ground,Start Date,Overs,Mdns,Runs_bowl,Wkts,Econ,Inns_bowl
IND6,B Kumar,,,,,,2,v Bangladesh,Dubai (DICS),21-Sep-18,10,1,32,3,3.2,1
IND6,B Kumar,21,31,1,1,67.74,2,v Bangladesh,Dubai (DICS),28-Sep-18,7,0,33,0,4.71,1
IND6,B Kumar,21,35,1,0,60,1,v England,Leeds,17-Jul-18,7,0,49,0,7,2
IND6,B Kumar,,,,,,1,v England,Pune,23-Mar-21,9,0,30,2,3.33,2
IND6,B Kumar,,,,,,1,v England,Pune,26-Mar-21,10,0,63,1,6.3,2
IND6,B Kumar,3,5,0,0,60,1,v England,Pune,28-Mar-21,10,0,42,3,4.2,2
IND6,B Kumar,9,18,0,0,50,1,v Hong Kong,Dubai (DICS),18-Sep-18,9,0,50,0,5.55,2
IND6,B Kumar,1,12,0,0,8.33,1,v New Zealand,Hamilton,31-Jan-19,5,1,25,2,5,2
IND6,B Kumar,0,1,0,0,0,2,v New Zealand,Manchester,09-Jul-19,10,1,43,3,4.3,1
IND6,B Kumar,,,,,,1,v New Zealand,Mount Maunganui,26-Jan-19,7,1,42,2,6,2
IND6,B Kumar,,,,,,2,v New Zealand,Mount Maunganui,28-Jan-19,10,1,46,2,4.6,1
IND6,B Kumar,,,,,,2,v New Zealand,Napier,23-Jan-19,5,0,20,0,4,1
IND6,B Kumar,6,8,0,0,75,1,v New Zealand,Wellington,03-Feb-19,7,0,38,1,5.3,2
IND6,B Kumar,,,,,,2,v Pakistan,Dubai (DICS),19-Sep-18,7,1,15,3,2.14,1
IND6,B Kumar,,,,,,2,v Pakistan,Dubai (DICS),23-Sep-18,9,0,46,0,5.11,1
IND6,B Kumar,,,,,,1,v Pakistan,Manchester,16-Jun-19,2,0,8,0,3,2
IND6,B Kumar,16,19,1,0,84.21,1,v South Africa,Cape Town,07-Feb-18,7,0,41,0,5.85,2
IND6,B Kumar,,,,,,2,v South Africa,Centurion,04-Feb-18,5,1,19,1,3.8,1
IND6,B Kumar,,,,,,2,v South Africa,Durban,01-Feb-18,10,1,71,1,7.1,1
IND6,B Kumar,19,20,2,0,95,1,v South Africa,Gqeberha,13-Feb-18,7,0,43,0,6.14,2
IND6,B Kumar,5,7,0,0,71.42,1,v South Africa,Johannesburg,10-Feb-18,4,0,27,0,6.75,2
IND6,B Kumar,4,11,0,0,36.36,2,v South Africa,Paarl,19-Jan-22,10,0,64,0,6.4,1
IND6,B Kumar,,,,,,1,v South Africa,Paarl,21-Jan-22,8,0,67,0,8.37,2
IND6,B Kumar,,,,,,2,v South Africa,Southampton,05-Jun-19,10,0,44,2,4.4,1
IND6,B Kumar,,,,,,2,v Sri Lanka,Colombo (RPS),18-Jul-21,9,0,63,0,7,1
IND6,B Kumar,19,28,2,0,67.85,2,v Sri Lanka,Colombo (RPS),20-Jul-21,10,0,54,3,5.4,1
IND6,B Kumar,,,,,,2,v Sri Lanka,Leeds,06-Jul-19,10,0,73,1,7.3,1
IND6,B Kumar,,,,,,1,v West Indies,Brabourne,29-Oct-18,5,1,30,1,6,2
IND6,B Kumar,1,2,0,0,50,1,v West Indies,Port of Spain,11-Aug-19,8,0,31,4,3.87,2
IND6,B Kumar,,,,,,2,v West Indies,Port of Spain,14-Aug-19,5,1,48,0,9.6,1
IND6,B Kumar,10,17,1,0,58.82,2,v West Indies,Pune,27-Oct-18,10,0,70,1,7,1
IND6,B Kumar,,,,,,2,v West Indies,Thiruvananthapuram,01-Nov-18,4,1,11,1,2.75,1
IND10,DJ Hooda,12,25,0,0,48,1,v New Zealand,Christchurch,30-Nov-22,,,,,,
IND10,DJ Hooda,29,25,2,0,116,1,v West Indies,Ahmedabad,09-Feb-22,4,0,24,1,6,2
IND10,DJ Hooda,27,32,1,1,84.37,1,v West Indies,Port of Spain,22-Jul-22,5,0,22,0,4.4,2
IND10,DJ Hooda,33,36,2,0,91.66,2,v West Indies,Port of Spain,24-Jul-22,9,0,42,1,4.66,1
IND10,DJ Hooda,,,,,,1,v West Indies,Port of Spain,27-Jul-22,4,1,16,0,4,2
IND10,DJ Hooda,25,36,3,0,69.44,2,v Zimbabwe,Harare,20-Aug-22,2,0,6,1,3,1
IND10,DJ Hooda,1,3,0,0,33.33,1,v Zimbabwe,Harare,22-Aug-22,1,0,9,0,9,2
IND11,DL Chahar,12,14,1,0,85.71,2,v Afghanistan,Dubai (DICS),25-Sep-18,4,0,37,1,9.25,1
IND11,DL Chahar,0,3,0,0,0,1,v Bangladesh,Mirpur,04-Dec-22,8,1,32,1,4,2
IND11,DL Chahar,11,18,0,1,61.11,2,v Bangladesh,Mirpur,07-Dec-22,3,0,12,0,4,1
IND11,DL Chahar,12,9,0,2,133.33,1,v New Zealand,Christchurch,30-Nov-22,,,,,,
IND11,DL Chahar,54,34,5,2,158.82,2,v South Africa,Cape Town,23-Jan-22,8,0,53,2,6.62,1
IND11,DL Chahar,,,,,,2,v Sri Lanka,Colombo (RPS),18-Jul-21,7,1,37,2,5.28,1
IND11,DL Chahar,69,82,7,1,84.14,2,v Sri Lanka,Colombo (RPS),20-Jul-21,8,0,53,2,6.62,1
IND11,DL Chahar,38,38,4,2,100,1,v West Indies,Ahmedabad,11-Feb-22,8,1,41,2,5.12,2
IND11,DL Chahar,6,8,0,0,75,1,v West Indies,Chennai,15-Dec-19,10,1,48,1,4.8,2
IND11,DL Chahar,,,,,,1,v West Indies,Visakhapatnam,18-Dec-19,7,1,44,0,6.28,2
IND11,DL Chahar,,,,,,2,v Zimbabwe,Harare,18-Aug-22,7,0,27,3,3.85,1
IND11,DL Chahar,1,1,0,0,100,1,v Zimbabwe,Harare,22-Aug-22,10,0,75,2,7.5,2
IND13,HH Pandya,92,76,7,1,121.05,1,v Afghanistan,Delhi,11-Oct-23,7,0,43,2,6.14,1
IND13,HH Pandya,7,9,0,0,77.77,1,v Afghanistan,Southampton,22-Jun-19,10,1,51,2,5.1,2
IND13,HH Pandya,40,40,3,1,100,2,v Australia,Chennai,22-Mar-23,8,0,44,3,5.5,1
IND13,HH Pandya,11,8,0,1,137.5,2,v Australia,Chennai,08-Oct-23,3,0,28,1,9.33,1
IND13,HH Pandya,28,24,1,3,116.66,2,v Australia,Dubai (DICS),04-Mar-25,5,0,40,1,7.27,1
IND13,HH Pandya,28,31,1,1,90.32,2,v Australia,Sydney,29-Nov-20,4,0,24,1,6,1
IND13,HH Pandya,48,27,4,3,177.77,1,v Australia,The Oval,09-Jun-19,10,0,68,0,6.8,2
IND13,HH Pandya,1,3,0,0,33.33,1,v Australia,Visakhapatnam,19-Mar-23,1,0,18,0,18,2
IND13,HH Pandya,25,31,3,1,80.64,2,v Australia,Wankhede,17-Mar-23,5,0,29,1,5.8,1
IND13,HH Pandya,0,2,0,0,0,1,v Bangladesh,Birmingham,02-Jul-19,10,0,60,3,6,2
IND13,HH Pandya,90,76,7,4,118.42,2,v Bangladesh,Dubai (DICS),20-Feb-25,4,0,20,0,5,1
IND13,HH Pandya,,,,,,2,v Bangladesh,Pune,19-Oct-23,0,0,8,0,16,1
IND13,HH Pandya,17,9,0,2,188.88,1,v England,Ahmedabad,12-Feb-25,5,0,38,2,7.6,2
IND13,HH Pandya,45,33,4,0,136.36,2,v England,Birmingham,30-Jun-19,10,0,60,0,6,1
IND13,HH Pandya,10,6,2,0,166.66,2,v England,Cuttack,09-Feb-25,7,0,53,1,7.57,1
IND13,HH Pandya,21,21,2,0,100,1,v England,Leeds,17-Jul-18,5,0,39,0,7.09,2
IND13,HH Pandya,21,22,1,0,95.45,2,v England,Lord's,14-Jul-18,10,0,70,1,7,1
IND13,HH Pandya,29,44,2,0,65.9,2,v England,Lord's,14-Jul-22,6,0,28,2,4.66,1
IND13,HH Pandya,71,55,10,0,129.09,2,v England,Manchester,17-Jul-22,7,3,24,4,3.42,1
IND13,HH Pandya,9,6,0,1,150,2,v England,Nagpur,06-Feb-25,7,1,37,0,5.28,1
IND13,HH Pandya,,,,,,2,v England,Nottingham,12-Jul-18,7,0,47,0,6.71,1
IND13,HH Pandya,64,44,5,4,145.45,1,v England,Pune,28-Mar-21,9,0,48,0,5.33,2
IND13,HH Pandya,,,,,,2,v England,The Oval,12-Jul-22,4,0,22,0,5.5,1
IND13,HH Pandya,,,,,,2,v Nepal,Pallekele,04-Sep-23,8,3,34,1,4.25,1
IND13,HH Pandya,45,45,4,2,100,1,v New Zealand,Dubai (DICS),02-Mar-25,4,0,22,1,5.5,2
IND13,HH Pandya,18,18,1,1,100,2,v New Zealand,Dubai (DICS),09-Mar-25,3,0,30,0,10,1
IND13,HH Pandya,16,20,4,0,80,1,v New Zealand,Hamilton,31-Jan-19,3,0,15,0,5,2
IND13,HH Pandya,28,38,3,0,73.68,1,v New Zealand,Hyderabad,18-Jan-23,7,0,70,1,10,2
IND13,HH Pandya,54,38,3,3,142.1,1,v New Zealand,Indore,24-Jan-23,6,0,37,1,6.16,2
IND13,HH Pandya,32,62,2,0,51.61,2,v New Zealand,Manchester,09-Jul-19,10,0,55,1,5.5,1
IND13,HH Pandya,,,,,,2,v New Zealand,Mount Maunganui,28-Jan-19,10,0,45,2,4.5,1
IND13,HH Pandya,,,,,,2,v New Zealand,Raipur,21-Jan-23,6,3,16,2,2.66,1
IND13,HH Pandya,45,22,2,5,204.54,1,v New Zealand,Wellington,03-Feb-19,8,1,50,2,6.25,2
IND13,HH Pandya,87,90,7,1,96.66,2,v Pakistan,Ahmedabad,14-Oct-23,6,0,34,2,5.66,1
IND13,HH Pandya,,,,,,1,v Pakistan,Colombo (RPS),10-Sep-23,5,0,17,1,3.4,2
IND13,HH Pandya,,,,,,2,v Pakistan,Dubai (DICS),19-Sep-18,5,0,24,0,4.96,1
IND13,HH Pandya,8,6,1,0,133.33,2,v Pakistan,Dubai (DICS),23-Feb-25,8,0,31,2,3.87,1
IND13,HH Pandya,26,19,2,1,136.84,1,v Pakistan,Manchester,16-Jun-19,8,0,44,2,5.5,2
IND13,HH Pandya,87,90,7,1,96.66,1,v Pakistan,Pallekele,02-Sep-23,,,,,,
IND13,HH Pandya,14,15,0,1,93.33,1,v South Africa,Cape Town,07-Feb-18,8,0,35,0,4.37,2
IND13,HH Pandya,,,,,,2,v South Africa,Centurion,16-Feb-18,10,0,39,1,3.9,1
IND13,HH Pandya,,,,,,2,v South Africa,Centurion,04-Feb-18,5,0,34,0,6.8,1
IND13,HH Pandya,3,6,0,0,50,2,v South Africa,Durban,01-Feb-18,7,0,41,0,5.85,1
IND13,HH Pandya,0,1,0,0,0,1,v South Africa,Gqeberha,13-Feb-18,9,0,30,2,3.33,2
IND13,HH Pandya,9,13,1,0,69.23,1,v South Africa,Johannesburg,10-Feb-18,5,0,37,1,7.4,2
IND13,HH Pandya,15,7,3,0,214.28,2,v South Africa,Southampton,05-Jun-19,6,0,31,0,5.16,1
IND13,HH Pandya,5,18,0,0,27.77,1,v Sri Lanka,Colombo (RPS),12-Sep-23,5,0,14,1,2.8,2
IND13,HH Pandya,,,,,,2,v Sri Lanka,Colombo (RPS),17-Sep-23,2,0,3,3,1.28,1
IND13,HH Pandya,,,,,,2,v Sri Lanka,Colombo (RPS),18-Jul-21,5,0,34,1,6.8,1
IND13,HH Pandya,0,3,0,0,0,2,v Sri Lanka,Colombo (RPS),20-Jul-21,4,0,20,0,5,1
IND13,HH Pandya,19,17,3,0,111.76,1,v Sri Lanka,Colombo (RPS),23-Jul-21,5,0,43,1,8.6,2
IND13,HH Pandya,36,53,4,0,67.92,2,v Sri Lanka,Eden Gardens,12-Jan-23,5,0,26,0,5.2,1
IND13,HH Pandya,14,12,0,1,116.66,1,v Sri Lanka,Guwahati,10-Jan-23,6,0,33,1,5.5,2
IND13,HH Pandya,7,4,1,0,175,2,v Sri Lanka,Leeds,06-Jul-19,10,0,50,1,5,1
IND13,HH Pandya,5,7,0,0,71.42,2,v West Indies,Bridgetown,27-Jul-23,3,0,17,1,5.66,1
IND13,HH Pandya,7,14,0,0,50,1,v West Indies,Bridgetown,29-Jul-23,6,0,38,0,5.7,2
IND13,HH Pandya,46,38,5,0,121.05,1,v West Indies,Manchester,27-Jun-19,5,0,28,1,5.6,2
IND13,HH Pandya,70,52,4,5,134.61,1,v West Indies,Tarouba,01-Aug-23,4,1,13,0,3.25,2
IND18,KH Pandya,58,31,7,2,187.09,1,v England,Pune,23-Mar-21,10,0,59,1,5.9,2
IND18,KH Pandya,12,9,1,0,133.33,1,v England,Pune,26-Mar-21,6,0,72,0,12,2
IND18,KH Pandya,25,34,0,0,73.52,1,v England,Pune,28-Mar-21,4,0,29,0,7.25,2
IND18,KH Pandya,,,,,,2,v Sri Lanka,Colombo (RPS),18-Jul-21,10,1,26,1,2.6,1
IND18,KH Pandya,35,54,3,0,64.81,2,v Sri Lanka,Colombo (RPS),20-Jul-21,8,0,37,0,4.62,1
IND22,M Prasidh Krishna,,,,,,1,v Australia,Indore,24-Sep-23,6,0,56,2,9.33,2
IND22,M Prasidh Krishna,0,3,0,0,0,2,v Australia,Rajkot,27-Sep-23,5,0,45,1,9,1
IND22,M Prasidh Krishna,0,2,0,0,0,2,v Bangladesh,Colombo (RPS),15-Sep-23,9,0,43,1,4.77,1
IND22,M Prasidh Krishna,0,3,0,0,0,2,v England,Lord's,14-Jul-22,8,0,53,1,6.62,1
IND22,M Prasidh Krishna,,,,,,2,v England,Manchester,17-Jul-22,9,0,48,0,5.33,1
IND22,M Prasidh Krishna,,,,,,1,v England,Pune,23-Mar-21,8,1,54,4,6.61,2
IND22,M Prasidh Krishna,,,,,,1,v England,Pune,26-Mar-21,10,0,58,2,5.8,2
IND22,M Prasidh Krishna,0,3,0,0,0,1,v England,Pune,28-Mar-21,7,0,62,0,8.85,2
IND22,M Prasidh Krishna,,,,,,2,v England,The Oval,12-Jul-22,5,0,26,1,5.2,1
IND22,M Prasidh Krishna,2,3,0,0,66.66,2,v South Africa,Cape Town,23-Jan-22,10,0,59,3,6,1
IND22,M Prasidh Krishna,0,0,0,0,,1,v West Indies,Ahmedabad,11-Feb-22,8,1,27,3,3.3,2
IND22,M Prasidh Krishna,,,,,,2,v West Indies,Ahmedabad,06-Feb-22,10,0,29,2,2.9,1
IND22,M Prasidh Krishna,0,3,0,0,0,1,v West Indies,Ahmedabad,09-Feb-22,9,3,12,4,1.33,2
IND22,M Prasidh Krishna,,,,,,1,v West Indies,Port of Spain,22-Jul-22,10,1,62,0,6.2,2
IND22,M Prasidh Krishna,,,,,,1,v West Indies,Port of Spain,27-Jul-22,4,0,30,1,7.5,2
IND22,M Prasidh Krishna,,,,,,2,v Zimbabwe,Harare,18-Aug-22,8,0,50,3,6.25,1
IND22,M Prasidh Krishna,,,,,,2,v Zimbabwe,Harare,20-Aug-22,6,1,28,1,4.54,1
IND27,NA Saini,,,,,,2,v Australia,Bengaluru,19-Jan-20,10,0,65,1,6.5,1
IND27,NA Saini,,,,,,1,v Australia,Rajkot,17-Jan-20,10,0,62,2,6.2,2
IND27,NA Saini,29,35,1,1,82.85,2,v Australia,Sydney,27-Nov-20,10,0,83,1,8.3,1
IND27,NA Saini,10,10,1,0,100,2,v Australia,Sydney,29-Nov-20,7,0,70,0,10,1
IND27,NA Saini,45,49,5,2,91.83,2,v New Zealand,Auckland,08-Feb-20,10,0,48,0,4.8,1
IND27,NA Saini,8,6,2,0,133.33,1,v New Zealand,Mount Maunganui,11-Feb-20,8,0,68,0,8.5,2
IND27,NA Saini,15,37,0,0,40.54,1,v Sri Lanka,Colombo (RPS),23-Jul-21,5,0,27,0,5.4,2
IND27,NA Saini,,,,,,2,v West Indies,Cuttack,22-Dec-19,10,0,58,2,5.8,1
IND28,NT Tilak Varma,5,9,1,0,55.55,2,v Bangladesh,Colombo (RPS),15-Sep-23,4,0,21,0,5.25,1
IND28,NT Tilak Varma,10,30,0,0,33.33,1,v South Africa,Gqeberha,19-Dec-23,3,0,18,0,6,2
IND29,R Ashwin,,,,,,2,v Australia,Chennai,08-Oct-23,10,1,34,1,3.4,1
IND29,R Ashwin,,,,,,1,v Australia,Indore,24-Sep-23,7,0,41,3,5.85,2
IND29,R Ashwin,,,,,,2,v Australia,Mohali,22-Sep-23,10,0,47,1,4.7,1
IND29,R Ashwin,7,13,0,0,53.84,2,v South Africa,Paarl,19-Jan-22,10,0,53,1,5.3,1
IND29,R Ashwin,25,24,1,1,104.16,1,v South Africa,Paarl,21-Jan-22,10,1,68,0,6.8,2
IND31,RA Jadeja,,,,,,2,v Afghanistan,Delhi,11-Oct-23,8,0,38,0,4.75,1
IND31,RA Jadeja,25,34,1,0,73.52,2,v Afghanistan,Dubai (DICS),25-Sep-18,10,1,46,3,4.6,1
IND31,RA Jadeja,,,,,,2,v Australia,Adelaide,15-Jan-19,10,1,49,1,4.9,1
IND31,RA Jadeja,9,22,0,0,40.9,1,v Australia,Ahmedabad,19-Nov-23,10,0,43,0,4.3,2
IND31,RA Jadeja,,,,,,2,v Australia,Bengaluru,19-Jan-20,10,1,44,2,4.4,1
IND31,RA Jadeja,66,50,5,3,132,1,v Australia,Canberra,02-Dec-20,10,0,62,1,6.2,2
IND31,RA Jadeja,18,33,1,0,54.54,2,v Australia,Chennai,22-Mar-23,10,0,34,0,3.4,1
IND31,RA Jadeja,,,,,,2,v Australia,Chennai,08-Oct-23,10,2,28,3,2.8,1
IND31,RA Jadeja,0,3,0,0,0,2,v Australia,Delhi,13-Mar-19,10,0,45,2,4.5,1
IND31,RA Jadeja,2,1,0,0,200,2,v Australia,Dubai (DICS),04-Mar-25,8,1,40,2,5,1
IND31,RA Jadeja,,,,,,2,v Australia,Hyderabad,02-Mar-19,10,0,33,0,3.3,1
IND31,RA Jadeja,13,9,1,0,144.44,1,v Australia,Indore,24-Sep-23,5,0,42,3,7.87,2
IND31,RA Jadeja,,,,,,2,v Australia,Melbourne,18-Jan-19,9,0,53,0,5.88,1
IND31,RA Jadeja,3,6,0,0,50,2,v Australia,Mohali,22-Sep-23,10,0,51,1,5.1,1
IND31,RA Jadeja,21,40,0,0,52.5,1,v Australia,Nagpur,05-Mar-19,10,0,48,1,4.8,2
IND31,RA Jadeja,20,16,1,0,125,1,v Australia,Rajkot,17-Jan-20,10,0,58,2,5.8,2
IND31,RA Jadeja,35,36,3,1,97.22,2,v Australia,Rajkot,27-Sep-23,10,0,61,0,6.1,1
IND31,RA Jadeja,24,31,0,1,77.41,2,v Australia,Ranchi,08-Mar-19,10,0,64,0,6.4,1
IND31,RA Jadeja,8,13,0,0,61.53,2,v Australia,Sydney,12-Jan-19,10,0,48,1,4.8,1
IND31,RA Jadeja,25,37,0,1,67.56,2,v Australia,Sydney,27-Nov-20,10,0,63,0,6.3,1
IND31,RA Jadeja,24,11,1,2,218.18,2,v Australia,Sydney,29-Nov-20,10,0,60,0,6,1
IND31,RA Jadeja,25,32,2,1,78.12,1,v Australia,Wankhede,14-Jan-20,8,0,41,0,5.12,2
IND31,RA Jadeja,45,69,5,0,65.21,2,v Australia,Wankhede,17-Mar-23,9,0,46,2,5.11,1
IND31,RA Jadeja,7,12,0,0,58.33,2,v Bangladesh,Colombo (RPS),15-Sep-23,10,1,53,1,5.3,1
IND31,RA Jadeja,,,,,,2,v Bangladesh,Dubai (DICS),20-Feb-25,9,0,37,0,4.11,1
IND31,RA Jadeja,,,,,,2,v Bangladesh,Dubai (DICS),21-Sep-18,10,0,29,4,2.9,1
IND31,RA Jadeja,23,33,1,0,69.69,2,v Bangladesh,Dubai (DICS),28-Sep-18,6,0,31,0,5.16,1
IND31,RA Jadeja,,,,,,2,v Bangladesh,Pune,19-Oct-23,10,0,38,2,3.8,1
IND31,RA Jadeja,11,7,2,0,157.14,2,v England,Cuttack,09-Feb-25,10,1,35,3,3.5,1
IND31,RA Jadeja,29,44,1,1,65.9,2,v England,Lord's,14-Jul-22,5,0,17,0,3.4,1
IND31,RA Jadeja,8,13,0,0,61.53,1,v England,Lucknow,29-Oct-23,7,1,16,1,2.28,2
IND31,RA Jadeja,7,15,0,0,46.66,2,v England,Manchester,17-Jul-22,4,0,21,1,5.25,1
IND31,RA Jadeja,12,10,2,0,120,2,v England,Nagpur,06-Feb-25,9,1,26,3,2.88,1
IND31,RA Jadeja,,,,,,2,v Nepal,Pallekele,04-Sep-23,10,0,40,3,4,1
IND31,RA Jadeja,,,,,,1,v Netherlands,Bengaluru,12-Nov-23,9,0,49,2,5.44,2
IND31,RA Jadeja,55,73,2,1,75.34,2,v New Zealand,Auckland,08-Feb-20,10,0,35,1,3.5,1
IND31,RA Jadeja,39,44,3,1,88.63,2,v New Zealand,Dharamsala,22-Oct-23,10,0,48,0,4.8,1
IND31,RA Jadeja,16,20,1,0,80,1,v New Zealand,Dubai (DICS),02-Mar-25,8,0,36,1,4.5,2
IND31,RA Jadeja,9,6,1,0,150,2,v New Zealand,Dubai (DICS),09-Mar-25,10,0,30,1,3,1
IND31,RA Jadeja,,,,,,1,v New Zealand,Hamilton,05-Feb-20,10,0,64,0,6.4,2
IND31,RA Jadeja,77,59,4,4,130.5,2,v New Zealand,Manchester,09-Jul-19,10,0,34,1,3.4,1
IND31,RA Jadeja,8,7,1,0,114.28,1,v New Zealand,Mount Maunganui,11-Feb-20,10,0,45,1,4.5,2
IND31,RA Jadeja,,,,,,1,v New Zealand,Wankhede,15-Nov-23,10,0,63,0,6.3,2
IND31,RA Jadeja,,,,,,2,v Pakistan,Ahmedabad,14-Oct-23,10,0,38,2,3.86,1
IND31,RA Jadeja,,,,,,1,v Pakistan,Colombo (RPS),10-Sep-23,5,0,26,0,5.2,2
IND31,RA Jadeja,,,,,,2,v Pakistan,Dubai (DICS),23-Feb-25,7,0,40,1,5.71,1
IND31,RA Jadeja,,,,,,2,v Pakistan,Dubai (DICS),23-Sep-18,9,0,50,0,5.55,1
IND31,RA Jadeja,14,22,1,0,63.63,1,v Pakistan,Pallekele,02-Sep-23,,,,,,
IND31,RA Jadeja,29,15,3,1,193.33,1,v South Africa,Eden Gardens,05-Nov-23,9,1,33,5,3.66,2
IND31,RA Jadeja,4,19,0,0,21.05,1,v Sri Lanka,Colombo (RPS),12-Sep-23,10,0,33,2,3.3,2
IND31,RA Jadeja,,,,,,2,v Sri Lanka,Leeds,06-Jul-19,10,0,40,1,4,1
IND31,RA Jadeja,35,24,1,1,145.83,1,v Sri Lanka,Wankhede,02-Nov-23,0,0,4,1,6,2
IND31,RA Jadeja,7,4,1,0,175,1,v West Indies,Brabourne,29-Oct-18,10,1,39,1,3.9,2
IND31,RA Jadeja,16,21,1,0,76.19,2,v West Indies,Bridgetown,27-Jul-23,6,0,37,3,6.16,1
IND31,RA Jadeja,10,21,0,0,47.61,1,v West Indies,Bridgetown,29-Jul-23,6,0,24,0,4,2
IND31,RA Jadeja,21,21,2,0,100,1,v West Indies,Chennai,15-Dec-19,10,0,58,0,5.8,2
IND31,RA Jadeja,39,31,4,0,125.8,2,v West Indies,Cuttack,22-Dec-19,10,0,54,1,5.4,1
IND31,RA Jadeja,,,,,,2,v West Indies,Guwahati,21-Oct-18,10,0,66,2,6.6,1
IND31,RA Jadeja,16,16,1,0,100,1,v West Indies,Port of Spain,11-Aug-19,4,0,15,1,3.75,2
IND31,RA Jadeja,,,,,,2,v West Indies,Port of Spain,14-Aug-19,5,0,26,1,5.2,1
IND31,RA Jadeja,8,7,0,0,114.28,1,v West Indies,Tarouba,01-Aug-23,5,1,29,0,5.8,2
IND31,RA Jadeja,,,,,,2,v West Indies,Thiruvananthapuram,01-Nov-18,10,1,34,4,3.45,1
