Unique ID,Player Name,Birth Date,Batting Style,Bowling Style,Playing Role,Retired/Playing,OLD NAME,Waste,Classification
IND45,Sanju Samson,11-11-1994,Righthanded,Wicketkeeperbatsman,WicketkeeperBatsman,Playing,SV Samson,19941111,Middle Order Batsman
IND46,T Natarajan,24-04-1991,Lefthanded,Leftarm mediumfast,Bowler,Playing,T Natarajan,19910424,Bowler
IND47,Umran Malik,22-11-1999,Righthanded,Rightarm fast,Bowler,Playing,Umran Malik,19991122,Bowler
IND48,Umesh Yadav,17-09-1994,Righthanded,Rightarm legbreak,Allrounder,Playing,UT Yadav,19940917,Bowler
IND49,Virat Kohli,05-11-1988,Righthanded,Parttime legbreak (early),Batsman,Playing,V Kohli,19881105,Top Order Batsman
IND50,Vijay Shankar,04-02-1987,Righthanded,Parttime offspin,Allrounder,Retired,V Shankar,19870204,Lower Order / Finisher Batsman
IND51,Venkatesh Iyer,20-10-1969,Righthanded,Wicketkeeper,WicketkeeperBatsman,Retired,VR Iyer,19691020,Lower Order / Finisher Batsman
IND52,Washington Sundar,05-10-1999,Righthanded,Offspin,Allrounder,Playing,Washington Sundar,19991005,Lower Order / Finisher Batsman
IND53,Yashasvi Jaiswal,28-12-2003,Righthanded,Parttime offspin,Batsman,Playing,YBK Jaiswal,20031228,Top Order Batsman
IND54,Yuzvendra Chahal,23-07-1990,Righthanded,Legspin,Bowler,Playing,YS Chahal,19900723,Bowler
