Unique ID,Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
IND42,Shubman Gill,116,97,14,2,119.58,1,v Sri Lanka,Thiruvananthapuram,15-Jan-23
IND35,RG Sharma,115,126,11,4,91.26,1,v South Africa,Gqeberha,13-Feb-18
IND49,V Kohli,114,99,14,0,115.15,2,v West Indies,Port of Spain,14-Aug-19
IND44,SS Iyer,113,111,15,0,101.8,2,v South Africa,Ranchi,09-Oct-22
IND49,V Kohli,113,91,11,2,124.17,1,v Bangladesh,Chattogram,10-Dec-22
IND49,V Kohli,113,87,12,1,129.88,1,v Sri Lanka,Guwahati,10-Jan-23
IND49,V Kohli,112,119,10,0,94.11,2,v South Africa,Durban,01-Feb-18
IND20,KL Rahul,112,113,9,2,99.11,1,v New Zealand,Mount Maunganui,11-Feb-20
IND42,Shubman Gill,112,78,13,5,143.58,1,v New Zealand,Indore,24-Jan-23
IND42,Shubman Gill,112,102,14,3,109.8,1,v England,Ahmedabad,12-Feb-25
IND35,RG Sharma,111,119,7,4,93.27,2,v Pakistan,Dubai (DICS),23-Sep-18
IND20,KL Rahul,111,106,12,2,104.71,1,v Pakistan,Colombo (RPS),10-Sep-23
IND20,KL Rahul,111,118,11,1,94.06,2,v Sri Lanka,Leeds,06-Jul-19
IND20,KL Rahul,108,114,7,2,94.73,1,v England,Pune,26-Mar-21
IND45,SV Samson,108,114,6,3,94.73,1,v South Africa,Paarl,21-Dec-23
IND49,V Kohli,107,119,10,1,89.91,2,v West Indies,Pune,27-Oct-18
IND44,SS Iyer,105,90,11,3,116.66,1,v Australia,Indore,24-Sep-23
IND44,SS Iyer,105,70,4,8,150,1,v New Zealand,Wankhede,15-Nov-23
IND49,V Kohli,104,112,5,2,92.85,2,v Australia,Adelaide,15-Jan-19
IND35,RG Sharma,104,92,7,5,113.04,1,v Bangladesh,Birmingham,02-Jul-19
IND42,Shubman Gill,104,97,6,4,107.21,1,v Australia,Indore,24-Sep-23
IND49,V Kohli,103,97,6,4,106.18,2,v Bangladesh,Pune,19-Oct-23
IND35,RG Sharma,103,94,14,2,109.57,2,v Sri Lanka,Leeds,06-Jul-19
IND44,SS Iyer,103,107,11,1,96.26,1,v New Zealand,Hamilton,05-Feb-20
IND35,RG Sharma,102,109,15,0,93.57,2,v England,Birmingham,30-Jun-19
IND20,KL Rahul,102,104,8,3,98.07,1,v West Indies,Visakhapatnam,18-Dec-19
IND20,KL Rahul,102,64,11,4,159.37,1,v Netherlands,Bengaluru,12-Nov-23
IND49,V Kohli,101,121,10,0,83.47,1,v South Africa,Eden Gardens,05-Nov-23
IND42,Shubman Gill,101,129,9,2,78.29,2,v Bangladesh,Dubai (DICS),20-Feb-25
IND35,RG Sharma,101,85,9,6,118.82,1,v New Zealand,Indore,24-Jan-23
IND49,V Kohli,100,111,7,0,90.09,2,v Pakistan,Dubai (DICS),23-Feb-25
IND42,Shubman Gill,98,98,7,2,100,1,v West Indies,Port of Spain,27-Jul-22
IND20,KL Rahul,97,115,8,2,84.34,2,v Australia,Chennai,08-Oct-23
IND35,RG Sharma,95,92,7,2,103.26,1,v Australia,Mohali,10-Mar-19
IND49,V Kohli,95,104,8,2,91.34,2,v New Zealand,Dharamsala,22-Oct-23
IND14,Ishan Kishan,93,84,4,7,110.71,2,v South Africa,Ranchi,09-Oct-22
IND13,HH Pandya,92,76,7,1,121.05,1,v Australia,Canberra,02-Dec-20
IND42,Shubman Gill,92,92,11,2,100,1,v Sri Lanka,Wankhede,02-Nov-23
IND13,HH Pandya,90,76,7,4,118.42,2,v Australia,Sydney,27-Nov-20
IND49,V Kohli,89,91,8,0,97.8,2,v Australia,Bengaluru,19-Jan-20
IND49,V Kohli,89,87,7,2,102.29,2,v Australia,Sydney,29-Nov-20
IND20,KL Rahul,88,64,3,6,137.5,1,v New Zealand,Hamilton,05-Feb-20
IND49,V Kohli,88,94,11,0,93.61,1,v Sri Lanka,Wankhede,02-Nov-23
IND35,RG Sharma,87,96,9,3,90.62,1,v New Zealand,Mount Maunganui,26-Jan-19
IND13,HH Pandya,87,90,7,1,96.66,1,v Pakistan,Pallekele,02-Sep-23
IND35,RG Sharma,87,101,10,3,86.13,1,v England,Lucknow,29-Oct-23
IND42,Shubman Gill,87,96,14,0,90.62,2,v England,Nagpur,06-Feb-25
IND45,SV Samson,86,63,9,3,136.5,2,v South Africa,Lucknow,06-Oct-22
IND35,RG Sharma,86,63,6,6,136.5,2,v Pakistan,Ahmedabad,14-Oct-23
IND49,V Kohli,85,81,9,0,104.93,2,v West Indies,Cuttack,22-Dec-19
IND38,RR Pant,85,71,10,2,119.71,1,v South Africa,Paarl,21-Jan-22
IND42,Shubman Gill,85,92,11,0,92.39,1,v West Indies,Tarouba,01-Aug-23
IND49,V Kohli,85,116,6,0,73.27,2,v Australia,Chennai,08-Oct-23
IND49,V Kohli,84,98,5,0,85.71,2,v Australia,Dubai (DICS),04-Mar-25
IND35,RG Sharma,83,104,5,3,79.8,2,v Bangladesh,Dubai (DICS),21-Sep-18
IND35,RG Sharma,83,67,9,3,123.88,1,v Sri Lanka,Guwahati,10-Jan-23
IND42,Shubman Gill,82,72,10,1,113.88,2,v Zimbabwe,Harare,18-Aug-22
IND49,V Kohli,82,77,4,2,106.49,1,v Australia,The Oval,09-Jun-19
IND44,SS Iyer,82,102,6,3,80.39,2,v Bangladesh,Mirpur,07-Dec-22
IND14,Ishan Kishan,82,81,9,2,101.23,1,v Pakistan,Pallekele,02-Sep-23
IND44,SS Iyer,82,56,3,6,146.42,1,v Sri Lanka,Wankhede,02-Nov-23
IND35,RG Sharma,81,57,5,6,142.1,2,v Australia,Rajkot,27-Sep-23
IND42,Shubman Gill,80,66,8,3,121.21,1,v New Zealand,Wankhede,15-Nov-23
IND20,KL Rahul,80,52,6,3,153.84,1,v Australia,Rajkot,17-Jan-20
IND44,SS Iyer,80,111,9,0,72.07,1,v West Indies,Ahmedabad,11-Feb-22
IND44,SS Iyer,80,76,4,4,105.26,1,v New Zealand,Auckland,25-Nov-22
IND2,AM Rahane,79,86,5,2,91.86,2,v South Africa,Durban,01-Feb-18
IND44,SS Iyer,79,98,4,2,80.61,1,v New Zealand,Dubai (DICS),02-Mar-25
IND49,V Kohli,78,76,6,0,102.63,1,v Australia,Rajkot,17-Jan-20
IND38,RR Pant,78,62,5,4,125.8,1,v England,Pune,28-Mar-21
IND44,SS Iyer,78,64,8,2,121.87,1,v England,Ahmedabad,12-Feb-25
IND49,V Kohli,77,65,7,0,118.46,1,v Pakistan,Manchester,16-Jun-19
IND20,KL Rahul,77,92,6,1,83.69,1,v Bangladesh,Birmingham,02-Jul-19
IND31,RA Jadeja,77,59,4,4,130.5,2,v New Zealand,Manchester,09-Jul-19
IND20,KL Rahul,77,89,8,1,86.51,2,v West Indies,Cuttack,22-Dec-19
IND38,RR Pant,77,40,3,7,192.5,1,v England,Pune,26-Mar-21
IND14,Ishan Kishan,77,64,8,3,120.31,1,v West Indies,Tarouba,01-Aug-23
IND44,SS Iyer,77,87,7,2,88.5,1,v South Africa,Eden Gardens,05-Nov-23
IND35,RG Sharma,76,58,7,5,131.03,2,v England,The Oval,12-Jul-22
IND20,KL Rahul,76,66,4,5,115.15,2,v Australia,Sydney,29-Nov-20
IND35,RG Sharma,76,83,7,3,91.56,2,v New Zealand,Dubai (DICS),09-Mar-25
IND20,KL Rahul,75,91,7,1,82.41,2,v Australia,Wankhede,17-Mar-23
IND49,V Kohli,75,83,7,1,90.36,1,v South Africa,Johannesburg,10-Feb-18
IND49,V Kohli,75,82,7,0,91.46,2,v England,Nottingham,12-Jul-18
IND35,RG Sharma,74,59,6,5,125.42,2,v Nepal,Pallekele,04-Sep-23
IND42,Shubman Gill,74,63,6,2,117.46,2,v Australia,Mohali,22-Sep-23
IND20,KL Rahul,73,70,5,4,104.28,1,v Bangladesh,Mirpur,04-Dec-22
IND40,SA Yadav,72,37,6,6,194.59,1,v Australia,Indore,24-Sep-23
IND49,V Kohli,72,82,8,0,87.8,1,v West Indies,Manchester,27-Jun-19
IND49,V Kohli,71,72,8,0,98.61,1,v England,Leeds,17-Jul-18
IND44,SS Iyer,71,68,5,1,104.41,1,v West Indies,Port of Spain,11-Aug-19
IND38,RR Pant,71,69,7,1,102.89,1,v West Indies,Chennai,15-Dec-19
IND13,HH Pandya,71,55,10,0,129.09,2,v England,Manchester,17-Jul-22
IND34,RD Gaikwad,71,77,10,0,92.2,2,v Australia,Mohali,22-Sep-23
IND13,HH Pandya,70,52,4,5,134.61,1,v West Indies,Tarouba,01-Aug-23
IND44,SS Iyer,70,88,5,1,79.54,1,v West Indies,Chennai,15-Dec-19
IND42,Shubman Gill,70,60,11,0,116.66,1,v Sri Lanka,Guwahati,10-Jan-23
IND11,DL Chahar,69,82,7,1,84.14,2,v Sri Lanka,Colombo (RPS),20-Jul-21
IND42,Shubman Gill,67,62,8,1,108.06,2,v Nepal,Pallekele,04-Sep-23
IND49,V Kohli,67,63,5,0,106.34,1,v Afghanistan,Southampton,22-Jun-19
IND31,RA Jadeja,66,50,5,3,132,1,v Australia,Canberra,02-Dec-20
IND49,V Kohli,66,76,7,0,86.84,2,v England,Birmingham,30-Jun-19
IND49,V Kohli,66,79,3,1,83.54,1,v England,Pune,26-Mar-21
IND20,KL Rahul,66,107,1,0,61.68,1,v Australia,Ahmedabad,19-Nov-23
IND44,SS Iyer,65,41,3,5,158.53,2,v West Indies,Port of Spain,14-Aug-19
IND49,V Kohli,65,84,5,0,77.38,2,v South Africa,Cape Town,23-Jan-22
IND3,AR Patel,64,35,3,5,182.85,2,v West Indies,Port of Spain,24-Jul-22
IND20,KL Rahul,64,103,6,0,62.13,2,v Sri Lanka,Eden Gardens,12-Jan-23
IND13,HH Pandya,64,44,5,4,145.45,1,v England,Pune,28-Mar-21
IND40,SA Yadav,64,83,5,0,77.1,1,v West Indies,Ahmedabad,09-Feb-22
IND42,Shubman Gill,64,53,6,2,120.75,1,v West Indies,Port of Spain,22-Jul-22
IND35,RG Sharma,64,44,5,4,145.45,2,v Sri Lanka,Colombo (RPS),04-Aug-24
IND35,RG Sharma,63,56,5,4,112.5,2,v West Indies,Thiruvananthapuram,01-Nov-18
IND35,RG Sharma,63,63,8,1,100,2,v West Indies,Cuttack,22-Dec-19
IND49,V Kohli,63,78,5,0,80.76,1,v Australia,Canberra,02-Dec-20
IND44,SS Iyer,63,71,4,1,88.73,2,v West Indies,Port of Spain,24-Jul-22
IND20,KL Rahul,62,43,4,4,144.18,1,v England,Pune,23-Mar-21
IND35,RG Sharma,62,77,3,2,80.51,2,v New Zealand,Mount Maunganui,28-Jan-19
IND44,SS Iyer,62,63,9,0,98.41,1,v New Zealand,Mount Maunganui,11-Feb-20
IND7,B Sai Sudharsan,62,83,7,1,74.69,1,v South Africa,Gqeberha,19-Dec-23
IND35,RG Sharma,61,54,8,2,112.96,1,v Netherlands,Bengaluru,12-Nov-23
IND20,KL Rahul,60,66,5,1,90.9,2,v Afghanistan,Dubai (DICS),25-Sep-18
IND49,V Kohli,60,74,6,1,81.08,2,v New Zealand,Mount Maunganui,28-Jan-19
IND35,RG Sharma,60,51,10,1,117.64,2,v West Indies,Ahmedabad,06-Feb-22
IND42,Shubman Gill,60,52,9,1,115.38,2,v England,Cuttack,09-Feb-25
IND14,Ishan Kishan,59,42,8,2,140.47,2,v Sri Lanka,Colombo (RPS),18-Jul-21
IND44,SS Iyer,59,36,9,2,163.88,2,v England,Nagpur,06-Feb-25
IND20,KL Rahul,58,63,4,1,92.06,2,v Australia,Mohali,22-Sep-23
IND42,Shubman Gill,58,52,10,0,111.53,1,v Pakistan,Colombo (RPS),10-Sep-23
IND35,RG Sharma,58,47,7,3,123.4,2,v Sri Lanka,Colombo (RPS),02-Aug-24
IND35,RG Sharma,57,70,3,1,81.42,1,v Australia,The Oval,09-Jun-19
IND20,KL Rahul,57,78,3,2,73.07,1,v Pakistan,Manchester,16-Jun-19
IND35,RG Sharma,56,89,4,0,62.92,2,v Australia,Delhi,13-Mar-19
IND49,V Kohli,56,60,6,0,93.33,1,v England,Pune,23-Mar-21
IND38,RR Pant,56,54,6,1,103.7,1,v West Indies,Ahmedabad,11-Feb-22
IND3,AR Patel,56,56,2,3,100,2,v Bangladesh,Mirpur,07-Dec-22
IND35,RG Sharma,56,49,6,4,114.28,1,v Pakistan,Colombo (RPS),10-Sep-23
IND49,V Kohli,56,61,5,1,91.8,2,v Australia,Rajkot,27-Sep-23
IND20,KL Rahul,56,64,7,0,87.5,1,v South Africa,Gqeberha,19-Dec-23
IND44,SS Iyer,56,67,5,1,83.58,2,v Pakistan,Dubai (DICS),23-Feb-25
IND49,V Kohli,55,56,6,0,98.21,2,v Afghanistan,Delhi,11-Oct-23
IND7,B Sai Sudharsan,55,43,9,0,127.9,2,v South Africa,Johannesburg,17-Dec-23
IND31,RA Jadeja,55,73,2,1,75.34,2,v New Zealand,Auckland,08-Feb-20
IND20,KL Rahul,55,79,4,0,69.62,1,v South Africa,Paarl,21-Jan-22
IND14,Ishan Kishan,55,55,6,1,100,1,v West Indies,Bridgetown,29-Jul-23
IND11,DL Chahar,54,34,5,2,158.82,2,v South Africa,Cape Town,23-Jan-22
IND44,SS Iyer,54,57,5,2,94.73,1,v West Indies,Port of Spain,22-Jul-22
IND45,SV Samson,54,51,3,3,105.88,2,v West Indies,Port of Spain,24-Jul-22
IND13,HH Pandya,54,38,3,3,142.1,1,v New Zealand,Indore,24-Jan-23
IND49,V Kohli,54,72,2,1,75,2,v Australia,Chennai,22-Mar-23
IND49,V Kohli,54,63,4,0,85.71,1,v Australia,Ahmedabad,19-Nov-23
IND44,SS Iyer,53,62,3,2,85.48,2,v Pakistan,Ahmedabad,14-Oct-23
IND44,SS Iyer,53,32,3,4,165.62,1,v West Indies,Visakhapatnam,18-Dec-19
IND40,SA Yadav,53,44,6,0,120.45,2,v Sri Lanka,Colombo (RPS),20-Jul-21
IND35,RG Sharma,53,48,7,2,110.41,1,v Sri Lanka,Colombo (RPS),12-Sep-23
IND42,Shubman Gill,53,55,5,2,96.36,2,v Bangladesh,Pune,19-Oct-23
IND35,RG Sharma,52,39,6,3,133.33,2,v Pakistan,Dubai (DICS),19-Sep-18
IND44,SS Iyer,52,57,7,1,91.22,2,v New Zealand,Auckland,08-Feb-20
IND14,Ishan Kishan,52,46,7,1,113.04,2,v West Indies,Bridgetown,27-Jul-23
IND20,KL Rahul,52,38,3,3,136.84,1,v Australia,Indore,24-Sep-23
IND44,SS Iyer,52,45,6,1,115.55,2,v South Africa,Johannesburg,17-Dec-23
IND28,NT Tilak Varma,52,77,5,1,67.53,1,v South Africa,Paarl,21-Dec-23
IND3,AR Patel,52,47,6,1,110.63,2,v England,Nagpur,06-Feb-25
IND49,V Kohli,52,55,7,1,94.54,1,v England,Ahmedabad,12-Feb-25
IND35,RG Sharma,51,28,3,5,182.14,2,v Bangladesh,Mirpur,07-Dec-22
IND49,V Kohli,51,63,6,0,80.95,1,v New Zealand,Hamilton,05-Feb-20
IND49,V Kohli,51,63,3,0,80.95,2,v South Africa,Paarl,19-Jan-22
IND52,Washington Sundar,51,64,5,1,79.68,1,v New Zealand,Christchurch,30-Nov-22
IND35,RG Sharma,51,50,7,2,102,2,v New Zealand,Raipur,21-Jan-23
IND45,SV Samson,51,41,2,4,124.39,1,v West Indies,Tarouba,01-Aug-23
IND42,Shubman Gill,51,32,3,4,159.37,1,v Netherlands,Bengaluru,12-Nov-23
IND49,V Kohli,51,56,5,1,91.07,1,v Netherlands,Bengaluru,12-Nov-23
IND43,SN Thakur,50,43,5,1,116.27,2,v South Africa,Paarl,19-Jan-22
IND14,Ishan Kishan,50,61,6,0,81.96,1,v Zimbabwe,Harare,22-Aug-22
IND44,SS Iyer,50,37,8,0,135.13,2,v South Africa,Lucknow,06-Oct-22
IND42,Shubman Gill,50,65,1,3,76.92,1,v New Zealand,Auckland,25-Nov-22
IND40,SA Yadav,50,49,5,1,102.04,2,v Australia,Mohali,22-Sep-23
IND20,KL Rahul,49,48,4,2,102.08,1,v West Indies,Ahmedabad,09-Feb-22
IND42,Shubman Gill,49,57,8,0,85.96,2,v South Africa,Delhi,11-Oct-22
IND44,SS Iyer,49,59,8,0,83.05,1,v New Zealand,Christchurch,30-Nov-22
IND40,SA Yadav,49,47,4,1,104.25,1,v England,Lucknow,29-Oct-23
IND35,RG Sharma,48,55,3,3,87.27,2,v Bangladesh,Dubai (DICS),28-Sep-18
IND13,HH Pandya,48,27,4,3,177.77,1,v Australia,The Oval,09-Jun-19
IND20,KL Rahul,48,64,6,0,75,1,v West Indies,Manchester,27-Jun-19
IND38,RR Pant,48,41,6,1,117.07,1,v Bangladesh,Birmingham,02-Jul-19
IND44,SS Iyer,48,43,1,2,111.62,2,v Australia,Rajkot,27-Sep-23
IND35,RG Sharma,48,40,7,2,120,2,v Bangladesh,Pune,19-Oct-23
IND44,SS Iyer,48,62,2,2,77.41,2,v New Zealand,Dubai (DICS),09-Mar-25
IND20,KL Rahul,47,61,4,0,77.04,1,v Australia,Wankhede,14-Jan-20
IND14,Ishan Kishan,47,47,5,2,100,2,v Afghanistan,Delhi,11-Oct-23
IND35,RG Sharma,47,29,4,4,162.06,1,v New Zealand,Wankhede,15-Nov-23
IND35,RG Sharma,47,31,4,3,151.61,1,v Australia,Ahmedabad,19-Nov-23
IND49,V Kohli,46,50,4,1,92,2,v South Africa,Centurion,04-Feb-18
IND49,V Kohli,46,62,3,0,74.19,2,v Australia,Melbourne,18-Jan-19
IND13,HH Pandya,46,38,5,0,121.05,1,v West Indies,Manchester,27-Jun-19
IND45,SV Samson,46,46,5,1,100,1,v Sri Lanka,Colombo (RPS),23-Jul-21
IND35,RG Sharma,46,40,4,4,115,2,v New Zealand,Dharamsala,22-Oct-23
IND42,Shubman Gill,46,52,7,0,88.46,2,v Pakistan,Dubai (DICS),23-Feb-25
IND42,Shubman Gill,45,42,4,1,107.14,1,v New Zealand,Hamilton,27-Nov-22
IND31,RA Jadeja,45,69,5,0,65.21,2,v Australia,Wankhede,17-Mar-23
IND49,V Kohli,45,56,2,0,80.35,2,v England,Lord's,14-Jul-18
IND49,V Kohli,45,59,3,0,76.27,2,v New Zealand,Napier,23-Jan-19
IND13,HH Pandya,45,22,2,5,204.54,1,v New Zealand,Wellington,03-Feb-19
IND13,HH Pandya,45,33,4,0,136.36,2,v England,Birmingham,30-Jun-19
IND13,HH Pandya,45,45,4,2,100,1,v New Zealand,Dubai (DICS),02-Mar-25
IND44,SS Iyer,45,62,3,0,72.58,2,v Australia,Dubai (DICS),04-Mar-25
IND44,SS Iyer,44,35,6,1,125.71,2,v Australia,Bengaluru,19-Jan-20
IND49,V Kohli,44,45,6,1,97.77,2,v Australia,Hyderabad,02-Mar-19
IND44,SS Iyer,44,34,4,1,129.41,1,v West Indies,Port of Spain,27-Jul-22
IND3,AR Patel,44,44,4,2,100,2,v Sri Lanka,Colombo (RPS),04-Aug-24
IND44,SS Iyer,44,47,3,1,93.61,2,v England,Cuttack,09-Feb-25
IND45,SV Samson,43,39,3,4,110.25,2,v Zimbabwe,Harare,20-Aug-22
IND35,RG Sharma,43,52,2,2,82.69,2,v Australia,Adelaide,15-Jan-19
IND49,V Kohli,43,45,5,0,95.55,1,v New Zealand,Mount Maunganui,26-Jan-19
IND42,Shubman Gill,43,49,5,0,87.75,2,v West Indies,Port of Spain,24-Jul-22
IND20,KL Rahul,42,34,2,2,123.52,2,v Australia,Dubai (DICS),04-Mar-25
IND35,RG Sharma,42,44,6,0,95.45,1,v Australia,Rajkot,17-Jan-20
IND24,MK Pandey,42,48,2,0,87.5,1,v New Zealand,Mount Maunganui,11-Feb-20
IND35,RG Sharma,42,49,2,3,85.71,1,v Sri Lanka,Thiruvananthapuram,15-Jan-23
IND3,AR Patel,42,34,3,2,123.52,2,v Bangladesh,Colombo (RPS),15-Sep-23
IND3,AR Patel,42,61,3,1,68.85,1,v New Zealand,Dubai (DICS),02-Mar-25
IND3,AR Patel,41,43,4,0,95.34,2,v England,Cuttack,09-Feb-25
IND20,KL Rahul,41,47,1,2,87.23,2,v Bangladesh,Dubai (DICS),20-Feb-25
IND35,RG Sharma,41,36,7,0,113.88,2,v Bangladesh,Dubai (DICS),20-Feb-25
IND43,SN Thakur,40,38,3,1,105.26,1,v South Africa,Paarl,21-Jan-22
IND42,Shubman Gill,40,53,6,0,75.47,2,v New Zealand,Raipur,21-Jan-23
IND40,SA Yadav,40,37,7,0,108.1,1,v Sri Lanka,Colombo (RPS),23-Jul-21
IND13,HH Pandya,40,40,3,1,100,2,v Australia,Chennai,22-Mar-23
IND35,RG Sharma,40,24,6,2,166.66,1,v South Africa,Eden Gardens,05-Nov-23
IND20,KL Rahul,40,29,3,1,137.93,1,v England,Ahmedabad,12-Feb-25
IND31,RA Jadeja,39,31,4,0,125.8,2,v West Indies,Cuttack,22-Dec-19
IND31,RA Jadeja,39,44,3,1,88.63,2,v New Zealand,Dharamsala,22-Oct-23
IND20,KL Rahul,39,20,5,2,195,1,v New Zealand,Wankhede,15-Nov-23
IND38,RR Pant,39,16,3,4,243.75,1,v West Indies,Visakhapatnam,18-Dec-19
IND40,SA Yadav,39,32,4,1,121.87,2,v South Africa,Cape Town,23-Jan-22
IND20,KL Rahul,39,29,4,1,134.48,1,v Sri Lanka,Guwahati,10-Jan-23
IND20,KL Rahul,39,44,2,0,88.63,1,v Sri Lanka,Colombo (RPS),12-Sep-23
IND20,KL Rahul,39,58,3,0,67.24,1,v England,Lucknow,29-Oct-23
IND44,SS Iyer,38,36,5,0,105.55,2,v Australia,Sydney,29-Nov-20
IND11,DL Chahar,38,38,4,2,100,1,v West Indies,Ahmedabad,11-Feb-22
IND44,SS Iyer,38,32,2,1,118.75,1,v Sri Lanka,Thiruvananthapuram,15-Jan-23
IND36,RK Singh,38,27,3,2,140.74,1,v South Africa,Paarl,21-Dec-23
IND52,Washington Sundar,37,16,3,3,231.25,1,v New Zealand,Auckland,25-Nov-22
IND35,RG Sharma,37,66,5,0,56.06,2,v Australia,Hyderabad,02-Mar-19
IND35,RG Sharma,37,37,6,0,100,1,v England,Pune,28-Mar-21
IND24,MK Pandey,37,31,3,0,119.35,2,v Sri Lanka,Colombo (RPS),20-Jul-21
IND52,Washington Sundar,37,27,4,1,137.03,1,v Bangladesh,Chattogram,10-Dec-22
IND42,Shubman Gill,37,49,4,1,75.51,2,v Australia,Chennai,22-Mar-23
IND49,V Kohli,36,54,2,0,66.66,1,v South Africa,Gqeberha,13-Feb-18
IND38,RR Pant,36,24,4,1,150,1,v Australia,Mohali,10-Mar-19
IND35,RG Sharma,36,56,6,0,64.28,1,v West Indies,Chennai,15-Dec-19
IND45,SV Samson,36,38,4,0,94.73,1,v New Zealand,Auckland,25-Nov-22
IND13,HH Pandya,36,53,4,0,67.92,2,v Sri Lanka,Eden Gardens,12-Jan-23
IND49,V Kohli,36,27,3,1,133.33,1,v New Zealand,Indore,24-Jan-23
IND13,HH Pandya,35,16,1,4,218.75,1,v England,Pune,26-Mar-21
IND40,SA Yadav,35,30,2,2,116.66,1,v West Indies,Tarouba,01-Aug-23
IND31,RA Jadeja,35,36,3,1,97.22,2,v Australia,Rajkot,27-Sep-23
IND31,RA Jadeja,35,24,1,1,145.83,1,v Sri Lanka,Wankhede,02-Nov-23
IND42,Shubman Gill,35,44,3,0,79.54,2,v Sri Lanka,Colombo (RPS),04-Aug-24
IND35,RG Sharma,35,20,6,1,175,2,v Sri Lanka,Colombo (RPS),07-Aug-24
IND2,AM Rahane,34,50,3,0,68,2,v South Africa,Centurion,16-Feb-18
IND49,V Kohli,34,41,3,0,82.92,2,v Sri Lanka,Leeds,06-Jul-19
IND40,SA Yadav,34,36,5,0,94.44,2,v West Indies,Ahmedabad,06-Feb-22
IND40,SA Yadav,34,25,2,3,136,1,v New Zealand,Hamilton,27-Nov-22
IND20,KL Rahul,34,34,3,1,100,2,v Bangladesh,Pune,19-Oct-23
IND20,KL Rahul,34,33,1,1,103.03,2,v New Zealand,Dubai (DICS),09-Mar-25
IND35,RG Sharma,34,38,4,2,89.47,1,v New Zealand,Hyderabad,18-Jan-23
IND42,Shubman Gill,34,49,5,0,69.38,1,v West Indies,Bridgetown,29-Jul-23
IND49,V Kohli,33,29,6,0,113.79,2,v West Indies,Thiruvananthapuram,01-Nov-18
IND42,Shubman Gill,33,39,3,1,84.61,1,v Australia,Canberra,02-Dec-20
IND52,Washington Sundar,33,34,2,1,97.05,1,v West Indies,Ahmedabad,11-Feb-22
IND10,DJ Hooda,33,36,2,0,91.66,2,v West Indies,Port of Spain,24-Jul-22
IND42,Shubman Gill,33,34,6,0,97.05,2,v Zimbabwe,Harare,20-Aug-22
IND43,SN Thakur,33,31,5,0,106.45,2,v South Africa,Lucknow,06-Oct-22
IND14,Ishan Kishan,33,61,1,1,54.09,1,v Sri Lanka,Colombo (RPS),12-Sep-23
IND44,SS Iyer,33,29,6,0,113.79,2,v New Zealand,Dharamsala,22-Oct-23
IND3,AR Patel,33,57,2,1,57.89,2,v Sri Lanka,Colombo (RPS),02-Aug-24
IND38,RR Pant,32,29,4,0,110.34,2,v England,Birmingham,30-Jun-19
IND38,RR Pant,32,56,4,0,57.14,2,v New Zealand,Manchester,09-Jul-19
